no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
D-1210,5,戸建,木造,屋根断熱,床断熱,0.37,0.43,0.47,0.53,0.76,3.49,2.82,0.63,0.3
D-1214,5,戸建,木造,屋根断熱,床断熱,0.41,0.42,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1215,2,戸建,木造,天井断熱,基礎断熱,0.17,0.28,-,0.22,0.22,2.33,1.99,0.29,0.19
D-1216,3,戸建,木造,天井断熱,床断熱,0.18,0.6,0.3,0.37,0.53,1.9,1.66,0.29,0.19
D-1217,5,戸建,木造,屋根断熱,基礎断熱,0.26,0.34,-,0.51,0.51,3.49,2.82,0.32,0.21
D-1219,5,戸建,木造,天井断熱,基礎断熱,0.3,0.29,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1221,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.42,0.53,0.76,4.65,3.59,0.63,0.3
D-1223,6,戸建,木造,天井断熱,床断熱,0.45,0.61,0.98,0.53,0.76,3.49,2.82,0.32,0.21
D-1232,6,戸建,木造,屋根断熱,基礎断熱,0.48,0.56,-,0.33,0.33,4.07,3.21,0.32,0.21
D-1234,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.47,0.53,0.76,4.07,3.21,0.32,0.21
D-1235,7,戸建,木造,天井断熱,床断熱,0.23,0.51,0.37,0.53,0.76,1.9,1.66,0.29,0.19
D-1237,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1238,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1239,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1240,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1241,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1242,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1243,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1244,7,戸建,木造,天井断熱,床断熱,0.23,0.45,0.47,0.53,0.76,4.65,3.59,0.63,0.3
D-1248,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.55,0.53,0.76,3.49,2.82,0.51,0.3
D-1249,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.55,0.55,2.33,1.99,0.32,0.21
D-1250,4,戸建,木造,天井断熱,床断熱,0.35,0.45,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1256,4,戸建,木造,天井断熱,床断熱,0.23,0.42,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-1257,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,4.07,3.21,0.63,0.3
D-1258,6,戸建,木造,天井断熱,床断熱,0.39,0.48,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-1260,6,戸建,木造,天井断熱,基礎断熱,0.15,0.35,-,0.42,0.42,2.33,1.99,0.32,0.21
D-1262,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.37,0.53,2.33,1.99,0.51,0.3
D-1263,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.57,0.53,0.76,4.07,3.21,0.63,0.3
D-1265,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.5,-,0.52,0.52,2.33,1.99,0.29,0.19
D-1267,5,戸建,木造,天井断熱,基礎断熱,0.35,0.45,-,0.46,0.46,1.9,1.66,0.29,0.19
D-1268,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1274,6,戸建,木造,屋根断熱,床断熱,0.28,0.29,0.29,0.53,0.76,2.33,1.99,0.29,0.19
D-1275,6,戸建,木造,屋根断熱,床断熱,0.44,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-1277,6,戸建,木造,天井断熱,床断熱,0.35,0.48,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1281,3,戸建,木造,屋根断熱,基礎断熱,0.3,0.36,-,0.47,0.47,1.6,1.42,0.39,0.24
D-1284,6,戸建,木造,天井断熱,床断熱,0.31,0.61,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1286,3,戸建,木造,屋根断熱,床断熱,0.24,0.28,0.3,0.37,0.53,2.33,1.99,0.51,0.3
D-1290,5,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.52,0.52,2.15,1.85,0.32,0.21
D-1291,5,戸建,木造,天井断熱,基礎断熱,0.3,0.38,-,0.52,0.52,2.15,1.85,0.32,0.21
D-1292,7,戸建,木造,天井断熱,床断熱,0.45,0.83,0.92,0.53,0.76,4.07,3.21,0.32,0.21
D-1293,6,戸建,木造,天井断熱,床断熱,0.45,0.83,0.92,0.53,0.76,4.07,3.21,0.32,0.21
D-1294,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1295,6,戸建,木造,天井断熱,床断熱,0.25,0.48,0.35,0.53,0.76,2.33,1.99,0.32,0.21
D-1297,6,戸建,木造,天井断熱,床断熱,0.33,0.51,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1298,5,戸建,木造,屋根断熱,床断熱,0.21,0.34,0.47,0.53,0.76,1.9,1.66,0.29,0.19
D-1299,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1300,6,戸建,木造,天井断熱,床断熱,0.23,0.53,0.46,0.53,0.76,4.07,3.21,0.63,0.3
D-1305,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-1307,4,戸建,木造,天井断熱,床断熱,0.25,0.48,0.4,0.53,0.76,1.9,1.66,0.46,0.27
D-1308,5,戸建,木造,屋根断熱,床断熱,0.45,0.39,0.72,0.53,0.76,4.65,3.59,0.63,0.3
D-1309,5,戸建,木造,天井断熱,床断熱,0.35,0.45,0.42,0.53,0.76,2.33,1.99,0.32,0.21
D-1314,4,戸建,木造,屋根断熱,基礎断熱,0.21,0.38,-,0.44,0.44,2.33,1.99,0.46,0.27
D-1315,4,戸建,木造,屋根断熱,床断熱,0.27,0.29,0.29,0.53,0.76,1.9,1.66,0.46,0.27
D-1317,6,戸建,木造,屋根断熱,基礎断熱,0.52,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1318,7,戸建,木造,屋根断熱,基礎断熱,0.52,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1319,7,戸建,木造,屋根断熱,基礎断熱,0.52,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1323,4,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.36,0.53,0.76,1.6,1.42,0.39,0.24
D-1324,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1325,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1326,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1327,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1328,6,戸建,木造,天井断熱,床断熱,0.22,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1329,6,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1331,5,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1333,6,戸建,木造,屋根断熱,床断熱,0.55,0.56,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1335,3,戸建,木造,屋根断熱,床断熱,0.3,0.23,0.35,0.37,0.53,2.33,1.99,0.51,0.3
D-1338,3,戸建,木造,天井断熱,床断熱,0.27,0.45,0.68,0.37,0.53,2.33,1.99,0.32,0.21
D-1339,5,戸建,木造,天井断熱,床断熱,0.19,0.3,0.46,0.53,0.76,1.9,1.66,0.29,0.19
D-1340,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.6,0.53,0.76,3.49,2.82,0.63,0.3
D-1341,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.62,0.53,0.76,4.07,3.21,0.32,0.21
D-1345,5,戸建,木造,天井断熱,床断熱,0.25,0.56,0.51,0.53,0.76,2.33,1.99,0.29,0.19
D-1346,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.51,0.53,0.76,2.33,1.99,0.51,0.3
D-1348,6,戸建,木造,天井断熱,床断熱,0.21,0.45,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1349,4,戸建,木造,天井断熱,床断熱,0.22,0.42,0.47,0.53,0.76,2.33,1.99,0.29,0.19
D-1350,4,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.43,0.53,0.76,2.33,1.99,0.32,0.21
D-1351,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1352,7,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1353,7,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1354,5,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1355,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1358,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-1359,6,戸建,木造,天井断熱,床断熱,0.23,0.53,0.35,0.53,0.76,3.49,2.82,0.63,0.3
D-1360,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1362,4,戸建,木造,天井断熱,床断熱,0.33,0.32,0.46,0.53,0.76,3.49,2.82,0.51,0.3
D-1363,6,戸建,木造,屋根断熱,基礎断熱,0.22,0.42,-,0.34,0.34,3.49,2.82,0.32,0.21
D-1368,5,戸建,木造,屋根断熱,基礎断熱,0.48,0.56,-,0.59,0.59,3.49,2.82,0.32,0.21
D-1371,4,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,1.9,1.66,0.46,0.27
D-1374,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1376,5,戸建,木造,天井断熱,床断熱,0.17,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1380,7,戸建,木造,天井断熱,床断熱,0.23,0.48,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1381,7,戸建,木造,天井断熱,床断熱,0.61,0.74,1.06,0.53,0.76,4.07,3.21,0.63,0.3
D-1382,6,戸建,木造,天井断熱,床断熱,0.37,0.46,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1385,6,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.48,0.53,0.76,2.33,1.99,0.29,0.19
D-1389,6,戸建,木造,天井断熱,床断熱,0.4,0.5,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-1391,6,戸建,木造,天井断熱,基礎断熱,0.49,0.61,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1393,4,戸建,木造,天井断熱,床断熱,0.22,0.51,0.86,0.53,0.76,2.33,1.99,0.32,0.21
D-1395,3,戸建,木造,天井断熱,床断熱,0.28,0.36,0.48,0.37,0.53,2.33,1.99,0.29,0.19
D-1397,4,戸建,木造,天井断熱,床断熱,0.33,0.42,0.35,0.53,0.76,2.33,1.99,0.51,0.3
D-1398,6,戸建,木造,天井断熱,床断熱,0.45,0.74,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1400,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1403,5,戸建,木造,屋根断熱,床断熱,0.26,0.34,0.33,0.53,0.76,1.7,1.5,0.27,0.18
D-1404,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-1406,6,戸建,木造,天井断熱,床断熱,0.23,0.32,0.54,0.53,0.76,1.39,1.25,0.15,0.1
D-1407,5,戸建,木造,天井断熱,床断熱,0.23,0.5,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-1409,5,戸建,木造,屋根断熱,床断熱,0.5,0.51,0.81,0.53,0.76,4.07,3.21,0.63,0.3
D-1412,5,戸建,木造,屋根断熱,床断熱,0.57,0.58,0.37,0.53,0.76,2.33,1.99,0.32,0.21
D-1414,6,戸建,木造,天井断熱,床断熱,0.15,0.29,0.51,0.53,0.76,2.15,1.85,0.32,0.21
D-1415,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1416,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1417,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1418,5,戸建,木造,天井断熱,床断熱,0.23,0.56,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1419,5,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,4.07,3.21,0.63,0.3
D-1420,5,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,4.07,3.21,0.63,0.3
D-1423,6,戸建,木造,天井断熱,床断熱,0.23,0.29,0.29,0.53,0.76,1.9,1.66,0.29,0.19
D-1426,4,戸建,木造,天井断熱,床断熱,0.2,0.39,0.43,0.53,0.76,2.33,1.99,0.46,0.27
D-1427,3,戸建,木造,屋根断熱,床断熱,0.41,0.42,0.43,0.37,0.53,2.33,1.99,0.46,0.27
D-1428,4,戸建,木造,屋根断熱,床断熱,0.19,0.45,0.43,0.53,0.76,2.33,1.99,0.51,0.3
D-1430,4,戸建,木造,天井断熱,床断熱,0.33,0.42,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1431,5,戸建,木造,天井断熱,基礎断熱,0.21,0.24,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1439,5,戸建,木造,天井断熱,床断熱,0.38,0.48,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1442,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1443,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1444,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1445,3,戸建,木造,天井断熱,床断熱,0.24,0.48,0.33,0.37,0.53,2.33,1.99,0.51,0.3
D-1446,6,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1448,5,戸建,木造,天井断熱,基礎断熱,0.32,0.42,-,0.53,0.53,1.9,1.66,0.29,0.19
D-1451,5,戸建,木造,天井断熱,床断熱,0.75,0.56,0.76,0.53,0.76,2.33,1.99,0.29,0.19
D-1459,3,戸建,木造,屋根断熱,基礎断熱,0.47,0.68,-,0.51,0.51,2.33,1.99,0.51,0.3
D-1460,3,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.33,0.37,0.53,2.33,1.99,0.32,0.21
D-1461,4,戸建,木造,屋根断熱,床断熱,0.38,0.61,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1463,7,戸建,木造,天井断熱,床断熱,0.45,0.6,0.9,0.53,0.76,2.33,1.99,0.32,0.21
D-1468,5,戸建,木造,天井断熱,床断熱,0.27,0.39,0.55,0.53,0.76,4.07,3.21,0.63,0.3
D-1474,6,戸建,木造,天井断熱,床断熱,0.31,0.5,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1475,2,戸建,木造,天井断熱,基礎断熱,0.13,0.24,-,0.22,0.22,1.9,1.66,0.29,0.19
D-1476,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.51,0.53,0.76,4.07,3.21,0.63,0.3
D-1477,4,戸建,木造,屋根断熱,基礎断熱,0.25,0.39,-,0.5,0.5,2.33,1.99,0.51,0.3
D-1478,4,戸建,木造,屋根断熱,床断熱,0.38,0.45,0.49,0.53,0.76,2.33,1.99,0.51,0.3
D-1479,4,戸建,木造,屋根断熱,床断熱,0.38,0.45,0.49,0.53,0.76,2.33,1.99,0.51,0.3
D-1480,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1482,5,戸建,木造,屋根断熱,床断熱,0.3,0.45,0.46,0.53,0.76,1.9,1.66,0.29,0.19
D-1483,5,戸建,木造,屋根断熱,床断熱,0.27,0.45,0.46,0.53,0.76,1.9,1.66,0.29,0.19
D-1485,7,戸建,木造,屋根断熱,基礎断熱,0.95,0.45,-,0.58,0.58,4.07,3.21,0.63,0.3
D-1487,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-1489,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1491,2,戸建,木造,天井断熱,床断熱,0.17,0.45,0.27,0.37,0.53,3.49,2.82,0.32,0.21
D-1492,3,戸建,木造,天井断熱,基礎断熱,0.25,0.5,-,0.41,0.41,1.9,1.66,0.29,0.19
D-1493,3,戸建,木造,天井断熱,基礎断熱,0.25,0.24,-,0.41,0.41,1.6,1.42,0.24,0.16
D-1494,6,戸建,木造,天井断熱,床断熱,0.23,0.56,0.46,0.53,0.76,2.33,1.99,0.51,0.3
D-1496,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.72,0.53,0.76,3.49,2.82,0.51,0.3
D-1497,4,戸建,木造,天井断熱,床断熱,0.21,0.42,0.35,0.53,0.76,2.33,1.99,0.32,0.21
D-1498,4,戸建,木造,天井断熱,基礎断熱,0.32,0.46,-,0.48,0.48,1.6,1.42,0.24,0.16
D-1504,6,戸建,木造,天井断熱,床断熱,0.1,0.14,0.21,0.53,0.76,1.6,1.42,0.24,0.16
D-1510,6,戸建,木造,屋根断熱,床断熱,0.49,0.34,0.51,0.53,0.76,2.15,1.85,0.32,0.21
D-1512,4,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,1.9,1.66,0.29,0.19
D-1513,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-1515,6,戸建,木造,天井断熱,床断熱,0.22,0.45,0.6,0.53,0.76,2.15,1.85,0.32,0.21
D-1516,6,戸建,木造,天井断熱,床断熱,0.23,0.53,0.34,0.53,0.76,2.15,1.85,0.32,0.21
D-1517,6,戸建,木造,天井断熱,床断熱,0.17,0.34,0.49,0.53,0.76,3.49,2.82,0.32,0.21
D-1518,6,戸建,木造,屋根断熱,床断熱,0.48,0.48,0.92,0.53,0.76,2.33,1.99,0.51,0.3
D-1521,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.55,0.55,3.49,2.82,0.32,0.21
D-1522,4,戸建,木造,屋根断熱,床断熱,0.3,0.43,0.53,0.53,0.76,3.49,2.82,0.51,0.3
D-1523,6,戸建,木造,天井断熱,床断熱,0.23,0.53,0.34,0.53,0.76,2.15,1.85,0.32,0.21
D-1524,5,戸建,木造,屋根断熱,床断熱,0.6,0.61,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-1525,6,戸建,木造,天井断熱,床断熱,0.2,0.48,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1528,5,戸建,木造,天井断熱,床断熱,0.7,0.53,0.68,0.53,0.76,4.65,3.59,0.63,0.3
D-1530,6,戸建,木造,天井断熱,床断熱,0.28,0.36,0.35,0.53,0.76,2.33,1.99,0.32,0.21
D-1531,4,戸建,木造,天井断熱,床断熱,0.15,0.31,0.23,0.53,0.76,1.9,1.66,0.29,0.19
D-1532,3,戸建,木造,天井断熱,床断熱,0.15,0.31,0.23,0.37,0.53,1.9,1.66,0.29,0.19
D-1533,4,戸建,木造,天井断熱,床断熱,0.15,0.61,0.23,0.53,0.76,1.9,1.66,0.29,0.19
D-1534,4,戸建,木造,天井断熱,床断熱,0.15,0.61,0.23,0.53,0.76,1.9,1.66,0.29,0.19
D-1535,5,戸建,木造,天井断熱,床断熱,0.45,0.7,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-1538,5,戸建,木造,天井断熱,床断熱,0.47,0.58,0.68,0.53,0.76,2.33,1.99,0.51,0.3
D-1539,5,戸建,木造,天井断熱,床断熱,0.58,0.61,0.55,0.53,0.76,3.49,2.82,0.51,0.3
D-1540,5,戸建,木造,天井断熱,床断熱,0.49,0.7,0.65,0.53,0.76,2.33,1.99,0.51,0.3
D-1541,4,戸建,木造,天井断熱,床断熱,0.39,0.61,0.55,0.53,0.76,2.33,1.99,0.51,0.3
D-1542,4,戸建,木造,屋根断熱,基礎断熱,0.44,0.45,-,0.42,0.42,2.33,1.99,0.51,0.3
D-1544,4,戸建,木造,天井断熱,床断熱,0.45,0.56,0.55,0.53,0.76,3.49,2.82,0.63,0.3
D-1545,6,戸建,木造,天井断熱,床断熱,0.33,0.51,0.39,0.53,0.76,4.07,3.21,0.63,0.3
D-1546,6,戸建,木造,天井断熱,床断熱,0.2,0.51,0.35,0.53,0.76,1.9,1.66,0.29,0.19
D-1547,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1548,5,戸建,木造,屋根断熱,床断熱,0.31,0.45,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-1550,2,戸建,木造,屋根断熱,床断熱,0.15,0.31,0.33,0.37,0.53,1.7,1.5,0.42,0.27
D-1551,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.72,0.53,0.76,4.65,3.59,0.63,0.3
D-1552,3,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.35,0.37,0.53,2.15,1.85,0.51,0.3
D-1554,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.48,0.53,0.76,1.16,1.06,0.24,0.16
D-1560,5,戸建,木造,屋根断熱,床断熱,0.26,0.43,0.41,0.53,0.76,2.33,1.99,0.32,0.21
D-1561,5,戸建,木造,屋根断熱,基礎断熱,0.28,0.61,-,0.51,0.51,2.33,1.99,0.32,0.21
D-1562,5,戸建,木造,屋根断熱,床断熱,0.26,0.34,0.36,0.53,0.76,1.9,1.66,0.29,0.19
D-1563,5,戸建,木造,屋根断熱,床断熱,0.38,0.61,0.41,0.53,0.76,2.33,1.99,0.32,0.21
D-1564,5,戸建,木造,屋根断熱,床断熱,0.38,0.61,0.41,0.53,0.76,2.33,1.99,0.32,0.21
D-1565,5,戸建,木造,屋根断熱,床断熱,0.38,0.61,0.41,0.53,0.76,2.33,1.99,0.32,0.21
D-1566,4,戸建,木造,天井断熱,床断熱,0.23,0.3,0.33,0.53,0.76,2.15,1.85,0.32,0.21
D-1567,5,戸建,木造,天井断熱,床断熱,0.18,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1570,3,戸建,木造,屋根断熱,基礎断熱,0.49,0.68,-,0.48,0.48,2.33,1.99,0.29,0.19
D-1571,1,戸建,木造,屋根断熱,基礎断熱,0.23,0.18,-,0.1,0.1,1.9,1.66,0.46,0.27
D-1573,3,戸建,木造,屋根断熱,基礎断熱,0.14,0.22,-,0.48,0.48,2.33,1.99,0.29,0.19
D-1574,4,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1575,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-1576,6,戸建,木造,天井断熱,床断熱,0.24,0.51,0.48,0.53,0.76,4.65,3.59,0.63,0.3
D-1577,6,戸建,木造,天井断熱,床断熱,0.24,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1578,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.72,0.53,0.76,4.65,3.59,0.63,0.3
D-1580,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.6,0.53,0.76,4.07,3.21,0.32,0.21
D-1582,6,戸建,木造,屋根断熱,床断熱,0.57,0.58,0.81,0.53,0.76,6.51,4.75,0.7,0.3
D-1586,3,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.33,0.37,0.53,1.9,1.66,0.46,0.27
D-1592,5,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1594,4,戸建,木造,屋根断熱,基礎断熱,0.43,0.52,-,0.44,0.44,1.9,1.66,0.46,0.27
D-1595,6,戸建,木造,屋根断熱,床断熱,0.31,0.48,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-1596,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-1597,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-1599,6,戸建,木造,屋根断熱,床断熱,0.31,0.48,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-1600,6,戸建,木造,屋根断熱,床断熱,0.31,0.6,0.45,0.53,0.76,2.33,1.99,0.29,0.19
D-1606,4,戸建,木造,天井断熱,床断熱,0.17,0.42,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-1607,5,戸建,木造,屋根断熱,床断熱,0.29,0.42,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1608,4,戸建,木造,天井断熱,床断熱,0.41,0.51,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1609,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-1611,6,戸建,木造,天井断熱,床断熱,0.23,0.29,0.29,0.53,0.76,2.33,1.99,0.29,0.19
D-1613,3,戸建,木造,天井断熱,床断熱,0.23,0.29,0.29,0.37,0.53,1.9,1.66,0.46,0.27
D-1615,4,戸建,木造,天井断熱,床断熱,0.17,0.27,0.3,0.53,0.76,1.9,1.66,0.29,0.19
D-1617,4,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1618,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1619,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1620,3,戸建,木造,天井断熱,基礎断熱,0.17,0.68,-,0.57,0.57,1.9,1.66,0.29,0.19
D-1621,7,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,3.49,2.82,0.63,0.3
D-1622,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.51,0.53,0.76,4.65,3.59,0.63,0.3
D-1623,6,戸建,木造,天井断熱,床断熱,0.45,0.56,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1624,5,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.46,0.53,0.76,3.49,2.82,0.32,0.21
